title,overview__Firm type,overview__Global HQ,thesis__Funding stages,thesis__Check size,min,max,thesis__Target countries,title_links_website,title_links_linkedin,title_links_twitter,thesis__Funding requirements,overview__Who we are,Contact_email
Boğaziçi Ventures,VC,"Finans Caddesi, 34760 Umraniye, Istanbul, Istanbul, TR","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"Canada, Estonia, Sweden, Turkey, UAE, UK, USA",http://www.bogaziciventures.com/,https://www.linkedin.com/company/bo%C4%9Fazi%C3%A7i-ventures/,,"We invest in technology startups, particularly in big data, edtech, fintech, gaming, human resources, information technology, and retail technology.","We operate as a venture capital fund with a regional focus across Turkey, MENA, and Eastern Europe.",
Loup Ventures,VC,"Minneapolis, US","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"Canada, UK, USA",http://loupventures.com/,https://www.linkedin.com/company/10995055,,"We invest in frontier technology, including augmented reality, esports, gaming, robotics, and virtual reality.",We are a research-driven venture capital firm.,
Disney Accelerator,"Incubator, Accelerator","Los Angeles, California, United States","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"Hong Kong, Japan, Norway, Sweden, UK, USA",http://disneyaccelerator.com/,https://www.linkedin.com/company-beta/6538139/,,We invest in innovative technologies that offer synergies with established entertainment companies.,We foster strategic connections between new technologies and large media corporations.,
MEP Capital,PE fund,"New York, New York, United States",3. Early Revenue,N/A,,,"Canada, UK, USA",https://www.mepcap.com,https://www.linkedin.com/company/mep-capital,,We invest in the media and entertainment industry.,We are an investment firm focused on this sector.,
HBSE Ventures,VC,"New York, US","3. Early Revenue, 4. Scaling, 5. Growth",N/A,,,"Israel, USA",https://hbse.vc/,https://www.linkedin.com/company/hbsev/,,We invest in sports tech.,We are a venture capital fund.,
KB Partners,VC,"600 Central Ave, 60035 Highland Park, IL, Illinois, US","3. Early Revenue, 4. Scaling, 5. Growth, 6. Pre-IPO",max. $3M,0,3000000,"Canada, France, Israel, USA",http://www.kbpartners.com,https://www.linkedin.com/company/kb-partners,,We invest in early-stage companies at the intersection of sports and technology.,We are a venture capital firm based in suburban Chicago.,
Comcast NBCUniversal SportsTech,"Incubator, Accelerator","Atlanta, Georgia, United States","2. Prototype, 3. Early Revenue",N/A,,,"Canada, Germany, Switzerland, USA",https://www.comcastsportstech.com/,https://www.linkedin.com/showcase/sports-tech-accelerator/,,"We invest in sports tech companies, supporting their path to pilots and commercial deals.",We are a 12-week accelerator program.,
JDS Sports,VC,"1091 Boston Post Road, 10580 Rye, NY, New York, US","3. Early Revenue, 4. Scaling",N/A,,,"Canada, UK, USA",https://www.jdssports.co/,https://www.linkedin.com/company/jds-sports/,,We invest in next-generation sports media and technology ventures.,We are a holding company focused on innovation in sports technology.,
Sports Investment Partners,PE fund,"16 Berkeley Street, W1 London, London, GB","3. Early Revenue, 4. Scaling",N/A,,,"Ireland, UK, USA",http://www.sportsip.co.uk/,https://www.linkedin.com/company/sports-investment-partners/,,We invest in the sport sector to drive growth.,We are an investment firm dedicated to the sports industry in Europe.,
Wemade,VC,"Seongnam, KR","3. Early Revenue, 4. Scaling",N/A,,,"Singapore, South Korea, Switzerland, USA, Vietnam",https://corp.wemade.com,https://www.linkedin.com/company/wemade-co-ltd,,"We invest in blockchain, gaming, media, mobile.",We are an entity specializing in developing digital interactive entertainment.,
GLOBAL TOP ROUND(USA),"Incubator, Accelerator","555 Pilgrim Drive Suite A, 94404 Foster City, California, California, US","2. Prototype, 3. Early Revenue",N/A,,,"Germany, Switzerland, UK",http://www.globaltopround.com/,https://www.linkedin.com/company/gtr-accelerator/?originalSubdomain=in,,"We invest in gaming and gamedev, providing support for game development and operations, including console games and online games.",We offer online accelerator programs for studios.,
Ghaf Capital Partners,PE fund,"Dubai, AE",3. Early Revenue,N/A,,,"Hong Kong, India, Kenya, UAE, UK",https://ghafcapital.ae/,https://www.linkedin.com/company/ghaf-capital-partners/,,"We invest in blockchain, gaming, and information technology companies.",We are a fast-growing venture capital fund.,
Lalotte Ventures,VC,"1188 Sherbrooke Street West, H3H 1E4 Montreal, Quebec, Quebec, CA","3. Early Revenue, 4. Scaling",N/A,,,"Canada, Israel, UK, USA",https://lalotteventures.com/,https://www.linkedin.com/company/lalotteventures,,"We invest in early-stage companies across sports, media, entertainment, gambling, gaming, and software.",We are a venture capital fund that is part of the Garber-Boucher Family Office.,
Acies Investments,VC,"90266 Manhattan Beach, CA, California, US","3. Early Revenue, 4. Scaling",N/A,,,"Canada, USA",https://aciesinvestments.com,https://www.linkedin.com/company/acies-investments,,"We invest in sports, sports technology, gaming, and esports industries.",We are an industry-dedicated venture capital firm.,
My.Games Venture Capital,Corporate VC,"Limassol, CY","2. Prototype, 3. Early Revenue",N/A,,,"Cyprus, Spain, Switzerland, UK, USA",https://mgvc.com/,https://www.linkedin.com/company/gamesventures/,,We invest in companies within the gaming sector.,We are the investment division of a prominent gaming company.,
Emerald Media,Corporate VC,"Mumbai, Maharashtra, India","3. Early Revenue, 4. Scaling, 5. Growth",N/A,,,"Singapore, Thailand, USA",http://emeraldmedia.asia/,https://www.linkedin.com/company/emerald-media-advisors-limited/,,We invest in media and entertainment industries.,"We operate as a pan-Asian platform, focused on high-growth opportunities throughout the region, established by KKR.",
Causeway Media Partners,PE fund,"44 Brattle Street, 02138 Cambridge, MA, Massachusetts, US","3. Early Revenue, 4. Scaling, 5. Growth, 6. Pre-IPO",N/A,,,"Canada, Germany, UK, USA",http://www.causewaymp.com/,https://www.linkedin.com/company/causeway-media-partners/,,"We invest in sports, media, and entertainment companies.",We are an investment fund.,
Lima Ventures,VC,"Istanbul, Istanbul, Turkey","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"Estonia, Germany, Netherlands, Turkey, UK",http://www.limaventures.com,https://www.linkedin.com/company/limaventures/,,"We invest in entrepreneurs and innovative businesses, particularly in edtech, fintech, gaming, and virtual reality.",We are a Turkish joint-stock company that supports and consults businesses.,
Advancit Capital,VC,"Norwood, Massachusetts, United States","2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",max. $1M,0,1000000,"Canada, Germany, Spain, UK, USA",http://www.advancitcapital.com,https://www.linkedin.com/company/2992821?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2992821%2Cidx%3A1-1-1%2CtarId%3A1439848986804%2Ctas%3AAdvancit%20Capital,,"We invest in early-stage companies at the intersection of media, entertainment, and technology.",We are a capital firm supporting emerging businesses.,
Klein Venture Partners,VC,"98040 Seattle, WA, Washington, US","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,USA,http://www.kleinvp.com,https://www.linkedin.com/company/klein-venture-partners,,"We invest in early stage startups in media, entertainment, and consumer sectors.",We are providers of angel capital and advisory services.,
London Venture Partners,VC,"7 Portland Mews, London W1F 8JQ","2. Prototype, 3. Early Revenue, 1. Idea or Patent",$500k to $2M,500000,2000000,"USA, UK, Denmark, Sweden, Finland, Canada, Germany, France, Spain, Italy, Netherlands, Belgium, Israel, Croatia, Turkey, Estonia, Latvia, Lithuania, Czech Republic, Cyprus, Greece, Hungary, Iceland, Ireland, Norway, Switzerland, Serbia, Slovakia, Slovenia",https://londonvp.com/,https://www.linkedin.com/company/london-venture-partners/,,We invest in gaming companies.,"LVP is a seed fund with a valuable difference: the team are operating experts in the game ecosystem, and they only ever invest in those sectors. The LVP Team has been seed investors in game companies that have created approximately $18 billion in value including Supercell, Unity, NaturalMotion, Playfish, Peak, Applifier, Boomlagoon, and Radiant Entertainment.",
Smok Ventures,VC,"29 Cegłowska Str., Warsaw, Poland","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$100k to $1M,100000,1000000,"Albania, Belarus, Bosnia-H, Bulgaria, Croatia, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Moldova, Montenegro, North Macedonia, Poland, Romania, Serbia, Slovakia, Slovenia, Ukraine",https://smok.vc,https://www.linkedin.com/company/smok-ventures/,https://www.twitter.com/smokvc,We invest in pre-seed and seed stage CEE-based startups building future industry leaders in software and gamedev space.,Polish/American VC fund investing in early stage tech startups from CEE region.,
WePlay Ventures,VC,"Kayisdagi St, Istanbul, Atasehir 34755, Turkey","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$75k to $500k,75000,500000,Turkey,https://www.weplayventures.com/,https://www.linkedin.com/company/weplayventures,,We invest in gaming startups at early stage.,N/A,
Origins Fund,VC,"12 E 33rd, New York, 10016, US","3. Early Revenue, 4. Scaling, 2. Prototype",$100k to $500k,100000,500000,"USA, Canada, France, Spain, UK, Germany, Sweden, Denmark, Austria, Italy, Belgium",https://www.origins.fund/,https://www.linkedin.com/company/origins-fund/,,"We invest in early-stage consumer tech startups across social, gaming, web3, fintech, health, and more.",Origins is a US and Europe based VC backing exceptional early-stage founders with an unfair advantage.,
Remagine Ventures,VC,"Rothschild Blvd. 45, 6th floor, Tel Aviv, Israel 6578403, IL","2. Prototype, 3. Early Revenue, 1. Idea or Patent",$250k to $1.5M,250000,1500000,"Israel, UK, USA",https://remagineventures.com/,https://www.linkedin.com/company/remagine-ventures,,"We invest in early-stage companies at the intersections of tech, interactive entertainment, gaming, and commerce with a spotlight on Israel.",N/A,
Crush Ventures,VC,"New York, NY 10003, US","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$100k to $500k,100000,500000,"USA, UK, Canada",https://crush.ventures/,https://www.linkedin.com/company/crush-music/,,"We invest in early stage consumer and technology companies focused on the future of commerce, media and entertainment.",N/A,
Sinan Guler,Solo angel,Amsterdam,"3. Early Revenue, 4. Scaling, 5. Growth",$5k to $50k,5000,50000,"Canada, USA, Austria, Belgium, Bulgaria, Croatia, Denmark, Finland, France, Germany, Greece, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, UK, Turkey",https://sinanguler.com/,https://www.linkedin.com/in/sinanguler32/,https://www.twitter.com/sinanguler,"I invest in startups, mainly looking at sports and entertainment vertical.",,
Baladi Ventures,PE fund,"Leon Schreiber Street, Kiryat Malakhi, IL","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,Israel,https://www.baladi.ventures/,https://www.linkedin.com/company/baladi-ventures,,"We invest in foodtech, fintech, gaming, logistics, and retail companies, focusing on early stage and growth investments.",We specialize in investments within Israel.,
Trust Esport,VC,"c/o Apicap, 2, rue Goethe, 75116 Paris, France","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$500k to $2.5M,500000,2500000,"France, Portugal, Germany, Belgium, Spain, Sweden, Denmark, Finland, Netherlands, Poland",https://www.trust-esport.com/en/,https://www.linkedin.com/company/trust-esport/,,We invest in EU-based Esports and gaming startups.,N/A,
Silva International Investments,VC,"Park House, W1K 6AF London, GB",3. Early Revenue,N/A,,,"UAE, USA",http://www.silvainternational.com/,https://in.linkedin.com/company/silva-international-investments ,,"We invest in companies spanning media, sports, and entertainment.",We are an investment company with a broad portfolio across these sectors.,
ExNetwork Capital,VC,"Makati, Philippines"," Pre-seed , Seed  ",,25000,250000,Global,,,https://twitter.com/exnetworkcap,"Primary focus on Web3, blockchain, and cryptocurrency projects. The firm acts as an incubator and looks for innovative technology and strong founding teams.",,
CloudTree Ventures,VC,"Miami, FL, Florida, US",4. Scaling,$100k to $5M,100000,5000000,USA,https://cloudtree.vc/,https://www.linkedin.com/company/cloudtree-vc/,,"We invest in gaming, interactive entertainment, media, metaverse, and tech.",We focus on the technologies shaping digital entertainment and provide 3D garment simulation solutions.,
Stadia Ventures,VC,"383 Marshall Avenue, St. Louis, MO 63122, United States","3. Early Revenue, 4. Scaling",$50k to $250k,50000,250000,"Australia, Canada, India, Israel, New Zealand, South Africa, UK, USA",http://www.stadiaventures.com/,https://www.linkedin.com/company/stadia-ventures/,,"We invest in early-stage startups in sports and esports that have defined product market fit, generally with ARR between $250k-$1MM.",N/A,
Gamerforce Ventures,VC,Singapore,"3. Early Revenue, 4. Scaling",$50k to $250k,50000,250000,"Singapore, Indonesia, Malaysia, Hong Kong, Philippines, USA, UK, Vietnam, Australia, India",https://www.gamerforce.vc,https://www.linkedin.com/company/gamerforce-ventures,,"We invest in esports, gaming with a primary focus on platforms and software that can scale across leagues, games and teams. Most of our investments tend to have a B2B focus.",N/A,
Strand Venture Partners,VC,"Pier Ave, 90254 Los Angeles, California, California, US",3. Early Revenue,$50k to $1M,50000,1000000,USA,https://www.strandvp.com/,https://www.linkedin.com/company/strand-venture-partners,,"We invest in consumer goods, esports, food and beverage, media, entertainment, payments, real estate, sports, and alcohol.",N/A,
leAD Sports & Health Tech Partners,VC,"7004 Tavistock Lakes Blvd Suite 132, Orlando FL 32827","1. Idea or Patent, 2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",$500k to $1M,500000,1000000,USA,https://leadsports.com/,https://www.linkedin.com/company/lead-official/,,We invest mainly in sports and health tech companies,N/A,
ffVC Tech & Gaming,VC,"The Empire State Building, NY NY 10118","2. Prototype, 3. Early Revenue, 4. Scaling",$350k to $1M,350000,1000000,"USA, Poland, UK, Ukraine",https://ffvc.com/ff-tech-and-gaming/,https://www.linkedin.com/company/ff-venture-capital,,"We invest in companies with early revenue/cusp of commercialization. FFVC- PreSeed/Seed Stage investment firm investing in fintech, insurtech, drones, robotics and AI. Geographically agnostic. Check size - 350k- 1M for 10% ownership, Sub 15M post valuations.","ff Venture Capital is a venture capital firm that specializes in providing seed-stage and early-stage funding to technology companies. Headquartered in New York City, ff Venture Capital was founded by John Frankel and Alex Katz in 2008, who are general partners at the firm.",
Night Ventures,VC,"1108 Lavaca St STE 110 #580 Austin, Texas 78701","2. Prototype, 1. Idea or Patent, 3. Early Revenue",$250k to $500k,250000,500000,USA,https://nightventures.com/,https://www.linkedin.com/company/nightventures,,"We invest in marketplaces, consumer technology, eCommerce, gaming, fintech, health tech, wellness, edtech, consumer goods",N/A,
Wildcard Ventures,VC,"Olympic Blvd, 3004 Melbourne, VIC, Victoria, AU","3. Early Revenue, 4. Scaling",$50k to $100k,50000,100000,"Australia, USA",https://www.wildcardventures.vc/,https://www.linkedin.com/company/wildcard-ventures/,,We invest in sports technology and sports startups.,We are a venture capital fund focused on accelerating growth.,
Signum Growth Capital,VC,"New City, New York, United States","4. Scaling, 5. Growth",N/A,,,"UK, USA",https://signumgc.com/,https://www.linkedin.com/company/signumgc,,"We invest in companies focused on gaming, blockchain, art, and digital economies.",We are an M&A advisory and capital raising firm that supports businesses.,
Grishin Robotics,VC,"2735 Sand Hill Rd #220, Menlo Park, CA 94025, USA","2. Prototype, 3. Early Revenue, 4. Scaling",$1M to $6M,1000000,6000000,"USA, Canada",https://www.grishinrobotics.com/,https://www.linkedin.com/company/grishinrobotics/,,"We invest in early-stage companies in broader consumer categories. We are actively exploring areas such as social, gaming, entertainment, food tech, digital fitness, commerce, and education. We are also exploring emerging areas such as personal and team productivity tools, the future of work, and fin-tech.",Grishin Robotics is a Silicon Valley-based early-stage VC fund.,
EONXI,VC,"Miami, Florida, Florida, US",4. Scaling,$750k to $1.5M,750000,1500000,USA,http://www.eonxi.com,https://www.linkedin.com/company/eonxi,,"We invest in companies across blockchain, consumer, enterprise software, esports, gaming, and internet sectors.",We operate as both a venture fund and a startup studio.,
Courtside Ventures,VC,"148 W. 24th Street, New York, New York 10010, US","2. Prototype, 3. Early Revenue, 1. Idea or Patent",$500k to $3M,500000,3000000,"USA, Canada, India, Germany, Brazil",http://courtsidevc.com/,https://www.linkedin.com/company/courtsidevc/,,"We invest in early-stage companies across sports, collectibles, media, fitness, wellness and gaming.",N/A,
Sheesha Finance,VC,"ALMAS-48-CV34 ALMAS Tower Plot, JLT-PH1-A0 Jumeirah Lakes Towers, Dubai, United Arab Emirates","1. Idea or Patent, 2. Prototype, 3. Early Revenue, 4. Scaling, 5. Growth",$100k to $1M,100000,1000000,"Afghanistan, Albania, Algeria, Andorra, Angola, Antigua and Barbuda, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia-H, Botswana, Brazil, Brunei, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Canada, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo (Congo-Brazzaville), Costa Rica, Côte d'Ivoire, Croatia, Cuba, Cyprus, Czech Republic, DRC Congo, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini (fmr. ""Swaziland""), Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Holy See, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kiribati, Kuwait, Kyrgyzstan, Laos, Latvia, Lebanon, Lesotho, Liberia, Liechtenstein, Lithuania, Luxembourg, Lybia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia, Moldova, Monaco, Mongolia, Montenegro, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands, New Zealand, Nicaragua, Niger, Nigeria, North Macedonia, Norway, Oman, Pakistan, Palau, Palestine, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Rwanda, Saint Vincent and the Grenadines, Samoa, San Marino, Sant Kitts and Nevis, Sant Lucia, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Somalia, South Africa, South Korea, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Tuvalu, UAE, Uganda, UK, Ukraine, Uruguay, USA, Uzbekistan, Vanuatu, Venezuela, Vietnam, Zambia, Zimbabwe",https://www.sheeshafinance.io/,https://www.linkedin.com/company/sheeshafinance/,,"We invest in long-term projects at the earliest stage that pave the way for mass blockchain adoption across different border, barriers and ecosystems. As a decentralized VC investing, we aim to diversify our portfolio, investing in DeFi, Gaming, NFT, Real World application and encourage ESG narratives.",N/A,
Klein Group,VC,"Grundingen 3, 0250 Oslo, Oslo, NO",2. Prototype,N/A,,,Norway,https://www.kleingroup.no,https://www.linkedin.com/company/kleingroupas,,"We invest in the media, entertainment, and e-commerce industries.",We are a group of companies with diverse investments.,
NFX,VC,"140, 2nd Street, San Francisco, California, United States",3. Early Revenue,max. $5M,0,5000000,"Canada, USA, Israel",https://www.nfx.com/,https://www.linkedin.com/company/nfxvc/,,"We invest in Biotech, Web3, Gaming, PropTech, SpaceTech, FinTech, and Marketplaces at preseed and seed stages only.",N/A,
Binance Labs,Incubator / CVC,Dubai," Seed, Growth",,,,Global,https://labs.binance.com,,https://twitter.com/BinanceLabs,"Venture capital and incubation arm of Binance. Exchange listing potential, ecosystem support.",,
Moonfire Ventures,VC,"Mortimer House, 37-41 Mortimer St, London W1T 3JH","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$100k to $2M,100000,2000000,"USA, Denmark, Finland, France, Germany, Iceland, Serbia, Spain, Sweden, UK, Israel",https://www.moonfire.com/,https://www.linkedin.com/company/moonfire/,,"We invest in European pre-seed and seed companies within the future of work, capital & finance (including web3 and DeFi), gaming and community and health & wellbeing. We look for companies that fit our golden triangle: they provide greater access, efficiency and service-quality.","At Moonfire we provide a founder’s first money in, enabling remarkable entrepreneurs to build breakthrough businesses using the power of technology.",
Serena,VC,"21, rue Auber 75009 Paris France","3. Early Revenue, 4. Scaling",$200k to $15M,200000,15000000,France,https://www.serena.vc/,https://www.linkedin.com/company/serenavc/,,"We invest in four to five teams per year and focus on helping them reach their maximum potential. We are not looking for early exits. We back Europe-based entrepreneurs willing to build continental or worldwide category leaders. We strongly prefer to lead or co-lead rounds. Seed to Series B, with check size ranging from €200K to €15 million for our first ticket. We are not industry-specific as long as your business model is scalable and your product is digital. We have a special affection for DeepTech, enterprise software, marketplaces, and entertainment. We usually do not consider CleanTech & MedTech investment unless there is a special twist. Our focus is primarily in France, although we are able to invest (and have already done so) in exceptional teams from Europe and the US.",N/A,
Gamegroove Capital,"Incubator, Accelerator","Kyiv, Kyyiv, Ukraine",3. Early Revenue,$10k to $500k,10000,500000,"Germany, Ukraine",https://gamegroovecapital.com/,https://www.linkedin.com/company/gamegroovecapital,,"We invest in promising new talent within the gaming industry, supporting the creation of innovative titles and services.",We help creators develop groundbreaking interactive entertainment experiences.,
BIP Capital,VC,"3575 Piedmont Road NE, Building 15 Suite 730, Atlanta, Georgia 30305, USA","3. Early Revenue, 4. Scaling",$100k to $10M,100000,10000000,"USA, Canada",https://www.bip-capital.com/,https://www.linkedin.com/company/bip-capital/,,"We invest at seed and Series A in B2B SaaS, Healthcare IT, Fintech, Digital Media and Entertainment, Developer Tools, and Frontier Tech startups. At Seed, we like companies to have launched a product, have some users and early revenue. At Series A we like companies doing $750k+ in ARR.",N/A,
F4 Fund,VC,"Los Angeles, CA","1. Idea or Patent, 2. Prototype, 3. Early Revenue",$100k to $200k,100000,200000,"USA, Finland, France, Germany, Sweden, UK",https://f4.fund,https://www.linkedin.com/company/f4fund,https://www.twitter.com/f4fund,"We invest in founders coming from the videogaming industry who are starting new ventures in AI, SaaS, social and consumer. The video game business is a source of world-changing technology and a magnet for exceptional founders. I am following the next generation of games industry alumni to their new ventures across industries. The categories and technologies we are interested in include AI, SaaS, social and consumer.",N/A,
LionCorn Capital,Angel network,"Heidelberg, Baden-Wurttemberg, Germany",3. Early Revenue,N/A,,,Germany,https://www.lioncorncapital.com/,,,"We invest in early-stage B2B SaaS, gaming, esports, and mobile applications, with a particular interest in Gen Z-focused ventures.",We are an early-stage firm with typical investments ranging from 10k to 150k per company.,
GeeCap,Corporate VC,"Xiamen, Fujian, China","3. Early Revenue, 4. Scaling",N/A,,,"China, Taiwan",http://www.geecap.com,,,We invest in companies within the gaming and entertainment sectors.,We are an investment firm dedicated to the interactive entertainment industry.,
leAD Lake Nona Sports & Health Academy,"Incubator, Accelerator","Orlando, Florida, United States","2. Prototype, 3. Early Revenue",N/A,,,USA,https://leadsports.com/lake-nona-accelerator,,,We invest in health and sports.,We accelerate startups through a six-month program designed to shape the future of living.,
Devsisters Ventures,VC,"Seoul, Seoul-t'ukpyolsi, South Korea","2. Prototype, 3. Early Revenue, 4. Scaling",N/A,,,"South Korea, USA",http://www.devsistersventures.com,,,"We invest in startups focused on gaming, healthcare, and deep technology.","We are an investment firm that provides funding across seed, venture, and growth stages to support innovative companies.",
Shamrock Capital,VC,"1100 Glendon Ave #1600, Los Angeles, CA 90024",5. Growth,$15M to $100M,15000000,100000000,USA,https://shamrockcap.com/,,,"Shamrock is flexible in the structuring of investments. Given our focus on growing businesses that are often at an inflection point in their lifecycle, we look to provide an investment structure that best allows the portfolio company to achieve its potential. We are comfortable as both majority and minority investors. Regardless of the type of investment, Shamrock’s role as a value-added, active partner remains consistent. Growth Equity: Companies seeking expansion capital. Buyouts & Recapitalizations: Providing shareholders liquidity. Investment Criteria Shamrock looks to invest in companies with strong management teams and attractive business models that are poised for growth. We typically look to generate returns over a three to seven year time horizon. In general, Shamrock’s investment criteria can be summarized as follows: Industry Focus: Media, Entertainment and Communications Investment Size: $15 million to $100 million of equity Investment Type: Lead investor in a controlling or minority position, including Growth Equity, Buyouts and Recapitalizations. Investment Qualities: Competitive differentiation Market leadership Strong growth prospects Operating leverage Management and ownership alignment",N/A,
Ubisoft Entrepreneurs Lab,"Incubator, Accelerator","Paris, Ile-de-France, France",4. Scaling,N/A,,,USA,https://www.ubisoft.com/en-us/company/start-ups/station-f.aspx,,,"We invest in blockchain and social entertainment, supporting initiatives in business development, corporate training, impact investing, and social entrepreneurship.",We are an entrepreneurial program supporting innovative projects.,
D21 Venture,VC,N/A,3. Early Revenue,N/A,,,USA,https://www.d21ventures.com/,,,"We invest in blockchain, decentralized, decentralized finance, gaming, NFT.",We are an early-stage investment firm that invests broadly.,
GFR Fund,VC,,"Pre-Seed, Seed, Series A",,,,,https://gfrfund.com,https://www.linkedin.com/company/gfrfund/,,"We’re seeking Digitally-Native
Communities.

A community-focused founder
builds...
- Loyal, engaged, advocating user
base
- Purpose-driven products
- Space for collaboration and
connection",,
Alpine Ventures,VC,"2331 Glenview St, Alameda, CA 94501","2. Prototype,3. Early Revenue",,250000,2000000,"USA,Canada,Indonesia,South Korea,Vietnam,UK,Germany,Brazil,Mexico,Nigeria,Zambia,Ghana,Australia,Colombia,Singapore,Argentina,France,Spain,Croatia,India",https://alpine.vc/,https://www.linkedin.com/company/alpineventures/,,"We invest in seed stage tech startups in consumer Internet, web3 applications, and prosumer software globally. We invest post-product (can be in beta), pre everything else (pre-revenue, pre-growth).",,
Blockchain Founders Fund,VC,Singapore,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",,200000,1000000,"Central African Republic,Canada,USA,India,Indonesia,Singapore,Vietnam,France,Portugal,Spain,UK,Israel",https://blockchainff.com/,https://www.linkedin.com/company/blockchainfoundersfund/,,"We invest in pre-seed to seed stage, blockchain, crypto, and web3 startups. We seek companies early, under $25M in valuation. ",,
Expert Dojo,"Incubator, Accelerator","395 Santa Monica Place, Santa Monica, CA 90405, United States","3. Early Revenue,4. Scaling,5. Growth",,25000,100000,"Central African Republic,Côte d'Ivoire,Ethiopia,Kenya,South Africa,Argentina,Brazil,Canada,Chile,Mexico,USA,China,India,Philippines,Estonia,France,Germany,Netherlands,Sweden,Switzerland,UK,Ukraine,Egypt,Israel,Australia",https://expertdojo.com/,https://www.linkedin.com/company/expert-dojo/,,"We invest in Fintech, IoT, BioTech, Health Care, Healthtech, SaaS, web3, Decarbonization, CPG, Software, Tech.",,
First Stage Labs,VC,"Boulevard Plaza, Dubai, UAE","2. Prototype,3. Early Revenue,1. Idea or Patent",,100000,2000000,"UAE,India,Indonesia,Portugal,Brazil,USA,UK,Armenia,Georgia,France,Latvia,Lithuania,Cyprus",https://fslabs.io/,,,We invest in web3 companies building products for mass adoption targeting 1M MAU on TON Blockchain,,
Florian Huber,Solo angel,"Berlin, Germany","4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent",,100000,200000,"Germany,USA,UK",https://www.florianhuber.de/,https://www.linkedin.com/company/florian-huber/,,"I invest in Crypto/Web3, Digital Health, SaaS and Consumer Tech.",,
Future3Campus,"Incubator, Accelerator","14/F, Three Exchange Square, 8 Connaught Place, Central, Hong Kong","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",,50000,1000000,"Canada,Spain,France,Nigeria,Turkey,Australia,Austria,Hong Kong,China,Japan",https://future3.io,,,"We incubate and invest in web3 projects. We are a platform backed by Wanxiang Blockchain Labs and HashKey Capital, investing in pre-seed to seed teams building DePIN, AI x Web3, TON ecosystem apps, payments, gaming, and mass‑adoption infrastructure",,
Genius X,"Incubator, Accelerator","Bösch 73, 6331 Hünenberg/ZG, Switzerland.","2. Prototype,3. Early Revenue,4. Scaling",,0,100000,"USA,Canada,UK,Germany,France,Switzerland,Portugal,Spain,Italy,India,China,Hong Kong,Taiwan,Singapore,Indonesia,Philippines,Australia,New Zealand,UAE,Japan,South Korea",https://www.genius-x.co/,https://www.linkedin.com/company/genius-x/,,"We accelerate early stage startups in blockchain, crypto, and web3 sectors that are nearly MVP-ready, by providing services around tech development, marketing & community building, token design and tokenomics, fundraising / investor connection, and token sale via our launchpad.",,
